name,author,year,link
Udemy's 100 Days of Code course,Angela Yu,2024-2025,Nothing
Udemy's The Complete Python Developer course,Andrei Neagoie,2024,https://www.udemy.com/certificate/UC-712dfe6c-9fb0-4180-b159-656419aa477f/
Udemy's Learn Python by Doing with 100 Projects course,Ardit Sulce,2025,https://www.udemy.com/certificate/UC-cf7c3675-8dad-4eb2-b3a2-bd743c7f9e7f/
Sololearn's Web Development course,Sololearn,2023,https://www.sololearn.com/certificates/CC-IBAFZ5HV
Sololearn's Introduction to SQL course,Sololearn,2023,https://www.sololearn.com/certificates/CC-LRJC85TN
Sololearn's Python Data Structures course,Sololearn,2023,https://www.sololearn.com/certificates/CT-RNOEGOSB
Sololearn's Python Data Programming course,Sololearn,2023,https://www.sololearn.com/certificates/CC-BS7ZBSRJ
