,Path,Size,Created,Modified,Type
0,C:\Users\iaman\Desktop\DDLCTNVN\COPYRIGHT.txt,221,Mon Apr  9 01:29:22 2018,Sun Nov 24 22:33:52 2024,.txt
1,C:\Users\iaman\Desktop\DDLCTNVN\DDLC.exe,386048,Mon Apr  9 01:29:22 2018,Sun Nov 24 22:33:52 2024,.exe
2,C:\Users\iaman\Desktop\DDLCTNVN\DDLC.py,6376,Mon Apr  9 01:29:22 2018,Sun Nov 24 22:33:52 2024,.py
3,C:\Users\iaman\Desktop\DDLCTNVN\DDLC.sh,2042,Mon Apr  9 01:29:22 2018,Sun Nov 24 22:33:52 2024,.sh
4,C:\Users\iaman\Desktop\DDLCTNVN\log.txt,14848,Sun Nov 24 22:37:13 2024,Mon Jan  6 17:53:30 2025,.txt
5,C:\Users\iaman\Desktop\DDLCTNVN\README.html,5251,Mon Apr  9 01:29:22 2018,Sun Nov 24 22:33:52 2024,.html
6,C:\Users\iaman\Desktop\DDLCTNVN\traceback.txt,1588,Mon Nov 25 10:48:24 2024,Mon Nov 25 10:48:24 2024,.txt
