,Name,Location,Magnitude,URL
1620,"M 4.5 - 52 km SSE of Debre Sīna, Ethiopia","52 km SSE of Debre Sīna, Ethiopia",4.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phcx
1636,"M 4.5 - 30 km NE of Āwash, Ethiopia","30 km NE of Āwash, Ethiopia",4.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phcd
1329,"M 4.4 - 3 km W of Mazo Cruz, Peru","3 km W of Mazo Cruz, Peru",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phsr
1346,"M 4.4 - 19 km W of Port-Vila, Vanuatu","19 km W of Port-Vila, Vanuatu",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pht8
530,M 4.4 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pid2
294,"M 4.4 - 22 km SW of Dompu, Indonesia","22 km SW of Dompu, Indonesia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pijn
722,"M 4.4 - 133 km SW of Meulaboh, Indonesia","133 km SW of Meulaboh, Indonesia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi69
880,"M 4.4 - 19 km NNW of Āwash, Ethiopia","19 km NNW of Āwash, Ethiopia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi3e
787,"M 4.4 - 25 km SW of Kéfalos, Greece","25 km SW of Kéfalos, Greece",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi4u
740,"M 4.4 - 69 km SSW of Masachapa, Nicaragua","69 km SSW of Masachapa, Nicaragua",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi5m
836,"M 4.4 - 116 km NNE of Mīnāb, Iran","116 km NNE of Mīnāb, Iran",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi3x
586,M 4.4 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pibw
166,"M 4.4 - 35 km SE of Debre Sīna, Ethiopia","35 km SE of Debre Sīna, Ethiopia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pirb
173,"M 4.4 - 27 km SSE of Abomsa, Ethiopia","27 km SSE of Abomsa, Ethiopia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piqw
883,"M 4.4 - 37 km N of Āwash, Ethiopia","37 km N of Āwash, Ethiopia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi3d
1123,"M 4.4 - 21 km SSE of Siavonga, Zambia","21 km SSE of Siavonga, Zambia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phxm
1342,"M 4.4 - 30 km NNW of Āwash, Ethiopia","30 km NNW of Āwash, Ethiopia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phsb
