,Name,Location,Magnitude,URL
366,"M 2.0 - 21 km WNW of Pecos, Texas","21 km WNW of Pecos, Texas",2.0,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025amxb
163,"M 2.0 - 4 km NNW of Houston, Alaska","4 km NNW of Houston, Alaska",2.0,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dlkctw
1340,"M 2.0 - 7 km WSW of Skwentna, Alaska","7 km WSW of Skwentna, Alaska",2.0,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256o826z
1718,"M 2.0 - 37 km NNW of Toyah, Texas","37 km NNW of Toyah, Texas",2.0,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025adik
43,"M 2.0 - 50 km S of Whites City, New Mexico","50 km S of Whites City, New Mexico",2.0,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025apre
249,"M 2.0 - 6 km NE of La Parguera, Puerto Rico","6 km NE of La Parguera, Puerto Rico",1.99,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470433
1369,"M 2.0 - 2 km NW of Guayanilla, Puerto Rico","2 km NW of Guayanilla, Puerto Rico",1.99,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470123
430,"M 2.0 - 7 km ENE of Running Springs, CA","7 km ENE of Running Springs, CA",1.99,https://earthquake.usgs.gov/earthquakes/eventpage/ci40835559
1324,"M 2.0 - 12 km ESE of Puebla, B.C., MX","12 km ESE of Puebla, B.C., MX",1.97,https://earthquake.usgs.gov/earthquakes/eventpage/ci40833599
287,"M 2.0 - 2 km NNE of Prattville, CA","2 km NNE of Prattville, CA",1.97,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114431
1128,"M 2.0 - 10 km NE of Ocotillo Wells, CA","10 km NE of Ocotillo Wells, CA",1.96,https://earthquake.usgs.gov/earthquakes/eventpage/ci40833935
665,"M 2.0 - 7 km E of Vallejo, CA","7 km E of Vallejo, CA",1.96,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113756
215,"M 2.0 - 5 km WSW of Liborio Negron Torres, Puerto Rico","5 km WSW of Liborio Negron Torres, Puerto Rico",1.96,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470438
205,"M 2.0 - 13 km NW of Pawnee, Oklahoma","13 km NW of Pawnee, Oklahoma",1.95,https://earthquake.usgs.gov/earthquakes/eventpage/ok2025aoge
1560,"M 2.0 - 24 km NW of Stanley, Idaho","24 km NW of Stanley, Idaho",1.95,https://earthquake.usgs.gov/earthquakes/eventpage/mb90070053
1591,"M 2.0 - 7 km NNW of The Geysers, CA","7 km NNW of The Geysers, CA",1.95,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112311
947,"M 1.9 - 10 km W of Mona, Utah","10 km W of Mona, Utah",1.94,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099261
226,"M 1.9 Explosion - 3 km WSW of Cathlamet, Washington","3 km WSW of Cathlamet, Washington",1.94,https://earthquake.usgs.gov/earthquakes/eventpage/uw62061807
325,"M 1.9 - 2 km NNE of Aromas, CA","2 km NNE of Aromas, CA",1.94,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114361
275,"M 1.9 - 3 km N of La Parguera, Puerto Rico","3 km N of La Parguera, Puerto Rico",1.93,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470408
328,"M 1.9 - 27 km W of Petrolia, CA","27 km W of Petrolia, CA",1.92,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114351
550,"M 1.9 - 6 km W of Progreso, B.C., MX","6 km W of Progreso, B.C., MX",1.92,https://earthquake.usgs.gov/earthquakes/eventpage/ci40835247
1178,"M 1.9 - 1 km W of Guayanilla, Puerto Rico","1 km W of Guayanilla, Puerto Rico",1.91,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470143
608,"M 1.9 - 14 km ESE of Little Lake, CA","14 km ESE of Little Lake, CA",1.91,https://earthquake.usgs.gov/earthquakes/eventpage/ci40835135
1363,"M 1.9 - 12 km S of Fern Forest, Hawaii","12 km S of Fern Forest, Hawaii",1.91,https://earthquake.usgs.gov/earthquakes/eventpage/hv74583387
236,"M 1.9 - 2 km NW of The Geysers, CA","2 km NW of The Geysers, CA",1.91,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114511
1702,"M 1.9 - 12 km SSE of Forsan, Texas","12 km SSE of Forsan, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025adke
1133,"M 1.9 - 4 km ESE of Ontario, CA","4 km ESE of Ontario, CA",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci40833927
6,"M 1.9 - 18 km S of Funny River, Alaska","18 km S of Funny River, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025f601ty
263,"M 1.9 - 8 km SSW of Willow, Alaska","8 km SSW of Willow, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dfjpch
1489,"M 1.9 - 54 km S of Whites City, New Mexico","54 km S of Whites City, New Mexico",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aepr
1485,"M 1.9 - 60 km WNW of Ninilchik, Alaska","60 km WNW of Ninilchik, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak02556jf9n
341,"M 1.9 - 48 km E of Fort Bidwell, California","48 km E of Fort Bidwell, California",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891601
333,"M 1.9 - 11 km S of Forsan, Texas","11 km S of Forsan, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025anct
1668,"M 1.9 - 17 km NE of Yerington, Nevada","17 km NE of Yerington, Nevada",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891271
1247,"M 1.9 - 33 km SE of Skwentna, Alaska","33 km SE of Skwentna, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256sr5en
969,"M 1.9 - 15 km NNE of Morgan Hill, CA","15 km NNE of Morgan Hill, CA",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113186
327,"M 1.9 - 50 km NW of Valdez, Alaska","50 km NW of Valdez, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025daxl30
1441,"M 1.9 - 54 km S of Whites City, New Mexico","54 km S of Whites City, New Mexico",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afbz
114,"M 1.9 - 18 km S of Westbrook, Texas","18 km S of Westbrook, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aozg
1435,"M 1.9 - 59 km NNE of Petersville, Alaska","59 km NNE of Petersville, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255a3m76
1026,"M 1.9 - 26 km NW of Tatitlek, Alaska","26 km NW of Tatitlek, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0258gilvo
53,"M 1.9 - 9 km SE of Pearsall, Texas","9 km SE of Pearsall, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025apnt
1162,"M 1.9 - 66 km NNE of Petersville, Alaska","66 km NNE of Petersville, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256y7osk
1455,"M 1.9 - 46 km E of Fort Bidwell, California","46 km E of Fort Bidwell, California",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891365
1163,"M 1.9 - 16 km E of Nikiski, Alaska","16 km E of Nikiski, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256y5dxa
1424,"M 1.9 - 37 km NNW of Toyah, Texas","37 km NNW of Toyah, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afgb
1653,"M 1.9 - 55 km N of Indian Springs, Nevada","55 km N of Indian Springs, Nevada",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891276
956,"M 1.9 - 64 km N of Petersville, Alaska","64 km N of Petersville, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0258ki10g
952,"M 1.9 - 37 km NNW of Toyah, Texas","37 km NNW of Toyah, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aisl
454,"M 1.9 - 14 km SE of Pearsall, Texas","14 km SE of Pearsall, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025amek
1403,"M 1.9 - 57 km SSE of Denali National Park, Alaska","57 km SSE of Denali National Park, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255bgutm
1407,"M 1.9 - 53 km WNW of Petersville, Alaska","53 km WNW of Petersville, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255bcsvh
895,"M 1.9 - 18 km E of Dilley, Texas","18 km E of Dilley, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025ajed
1541,"M 1.9 - 13 km SW of Fairview, Wyoming","13 km SW of Fairview, Wyoming",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099136
1425,"M 1.9 - 47 km SSE of Denali National Park, Alaska","47 km SSE of Denali National Park, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255arj9r
1434,"M 1.9 - 37 km NNW of Toyah, Texas","37 km NNW of Toyah, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afdw
960,"M 1.9 - 2 km NNE of Pinnacles, CA","2 km NNE of Pinnacles, CA",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113211
1288,"M 1.9 - 49 km SSW of Skwentna, Alaska","49 km SSW of Skwentna, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256r2w7p
467,"M 1.9 - 51 km W of Anchor Point, Alaska","51 km W of Anchor Point, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025bt6u7s
1599,"M 1.9 - 14 km NW of Fishhook, Alaska","14 km NW of Fishhook, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025513uic
1331,"M 1.9 - 45 km WNW of Happy Valley, Alaska","45 km WNW of Happy Valley, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256ourj0
1575,"M 1.9 - 2 km SW of Hollister, CA","2 km SW of Hollister, CA",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112351
803,"M 1.9 - 53 km NNE of Petersville, Alaska","53 km NNE of Petersville, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a1k85e
1375,"M 1.9 - 58 km NW of Toyah, Texas","58 km NW of Toyah, Texas",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aflv
11,"M 1.9 - 56 km E of Pedro Bay, Alaska","56 km E of Pedro Bay, Alaska",1.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak025f5ob2k
1327,"M 1.9 - 2 km NW of Kenilworth, Utah","2 km NW of Kenilworth, Utah",1.89,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099166
655,"M 1.9 - 26 km NE of Thermal, CA","26 km NE of Thermal, CA",1.89,https://earthquake.usgs.gov/earthquakes/eventpage/ci40834983
561,"M 1.9 - 1 km NNW of The Geysers, CA","1 km NNW of The Geysers, CA",1.89,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113921
214,"M 1.9 - 46 km SSE of Mammoth, Wyoming","46 km SSE of Mammoth, Wyoming",1.88,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099386
431,"M 1.9 - 23 km NW of Grapevine, CA","23 km NW of Grapevine, CA",1.88,https://earthquake.usgs.gov/earthquakes/eventpage/ci40835527
1274,"M 1.9 - 14 km S of Volcano, Hawaii","14 km S of Volcano, Hawaii",1.88,https://earthquake.usgs.gov/earthquakes/eventpage/hv74583572
23,"M 1.9 - 2 km NW of The Geysers, CA","2 km NW of The Geysers, CA",1.88,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114906
1279,"M 1.9 - 0 km NNW of Kenilworth, Utah","0 km NNW of Kenilworth, Utah",1.88,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099201
554,"M 1.9 - 26 km NE of Thermal, CA","26 km NE of Thermal, CA",1.87,https://earthquake.usgs.gov/earthquakes/eventpage/ci40835231
631,"M 1.9 - 20 km WNW of Stanley, Idaho","20 km WNW of Stanley, Idaho",1.86,https://earthquake.usgs.gov/earthquakes/eventpage/mb90070373
265,"M 1.9 - 4 km NNW of Jenkinsville, South Carolina","4 km NNW of Jenkinsville, South Carolina",1.86,https://earthquake.usgs.gov/earthquakes/eventpage/se60502883
198,"M 1.9 Quarry Blast - 6 km ENE of Butte, Montana","6 km ENE of Butte, Montana",1.86,https://earthquake.usgs.gov/earthquakes/eventpage/mb90070493
63,"M 1.9 - 7 km W of Daly City, CA","7 km W of Daly City, CA",1.86,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114856
805,"M 1.9 - 14 km S of Fern Forest, Hawaii","14 km S of Fern Forest, Hawaii",1.85,https://earthquake.usgs.gov/earthquakes/eventpage/hv74585387
347,"M 1.9 - 6 km SW of Volcano, Hawaii","6 km SW of Volcano, Hawaii",1.85,https://earthquake.usgs.gov/earthquakes/eventpage/hv74586842
428,"M 1.9 - 6 km WNW of Cobb, CA","6 km WNW of Cobb, CA",1.85,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114161
629,"M 1.8 - 26 km NE of Thermal, CA","26 km NE of Thermal, CA",1.84,https://earthquake.usgs.gov/earthquakes/eventpage/ci40835111
856,"M 1.8 - 1 km NW of Kenilworth, Utah","1 km NW of Kenilworth, Utah",1.84,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099276
77,"M 1.8 - 1 km SSW of Inglewood, CA","1 km SSW of Inglewood, CA",1.84,https://earthquake.usgs.gov/earthquakes/eventpage/ci40836391
1625,"M 1.8 - 7 km S of Volcano, Hawaii","7 km S of Volcano, Hawaii",1.83,https://earthquake.usgs.gov/earthquakes/eventpage/hv74582787
1352,"M 1.8 - 13 km W of Toms Place, CA","13 km W of Toms Place, CA",1.82,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112686
1273,"M 1.8 - 9 km SSW of Volcano, Hawaii","9 km SSW of Volcano, Hawaii",1.81,https://earthquake.usgs.gov/earthquakes/eventpage/hv74583577
879,"M 1.8 - 42 km E of Denali National Park, Alaska","42 km E of Denali National Park, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0259yhma0
1552,"M 1.8 - 18 km ENE of Willow, Alaska","18 km ENE of Willow, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak02553hu7e
455,"M 1.8 - 20 km NW of Schurz, Nevada","20 km NW of Schurz, Nevada",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891525
211,"M 1.8 - 2 km NNW of Kenilworth, Utah","2 km NNW of Kenilworth, Utah",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099391
1418,"M 1.8 - 33 km NW of Nikiski, Alaska","33 km NW of Nikiski, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255b59ut
1732,"M 1.8 - 55 km S of Whites City, New Mexico","55 km S of Whites City, New Mexico",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025adhl
1404,"M 1.8 - 58 km SE of Denali National Park, Alaska","58 km SE of Denali National Park, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255bgmxa
1090,"M 1.8 - 63 km WNW of Beluga, Alaska","63 km WNW of Beluga, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0258cv06n
716,"M 1.8 - 26 km NNW of Nikiski, Alaska","26 km NNW of Nikiski, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a6e1jb
1444,"M 1.8 - 38 km SSE of Goldfield, Nevada","38 km SSE of Goldfield, Nevada",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891344
1674,"M 1.8 - 54 km WSW of Tatitlek, Alaska","54 km WSW of Tatitlek, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0253oscfv
1440,"M 1.8 - 33 km ESE of Balmorhea, Texas","33 km ESE of Balmorhea, Texas",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afce
1448,"M 1.8 - 37 km SSE of Goldfield, Nevada","37 km SSE of Goldfield, Nevada",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891338
1028,"M 1.8 - 37 km NNE of Chase, Alaska","37 km NNE of Chase, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0258ggg7v
119,"M 1.8 - 15 km W of Anchor Point, Alaska","15 km W of Anchor Point, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025ey9gw0
180,"M 1.8 - 37 km SSE of Goldfield, Nevada","37 km SSE of Goldfield, Nevada",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891609
676,"M 1.8 - 48 km E of Fort Bidwell, California","48 km E of Fort Bidwell, California",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891497
281,"M 1.8 - 55 km S of Cantwell, Alaska","55 km S of Cantwell, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025de9rgb
1134,"M 1.8 - 8 km WNW of Happy Valley, Alaska","8 km WNW of Happy Valley, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak02589vu3p
1044,"M 1.8 - 23 km WNW of Fishhook, Alaska","23 km WNW of Fishhook, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0258f3774
1490,"M 1.8 - 55 km S of Whites City, New Mexico","55 km S of Whites City, New Mexico",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aepp
315,"M 1.8 - 12 km W of Point Possession, Alaska","12 km W of Point Possession, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dc708g
335,"M 1.8 - 22 km E of Beluga, Alaska","22 km E of Beluga, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025daf5yw
738,"M 1.8 - 58 km S of Denali National Park, Alaska","58 km S of Denali National Park, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a56ihg
576,"M 1.8 - 6 km SE of Pearsall, Texas","6 km SE of Pearsall, Texas",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025alhc
1229,"M 1.8 - 53 km SSE of Denali National Park, Alaska","53 km SSE of Denali National Park, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256twri9
700,"M 1.8 - 11 km ESE of Alum Rock, CA","11 km ESE of Alum Rock, CA",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113666
1635,"M 1.8 - 41 km SSW of Skwentna, Alaska","41 km SSW of Skwentna, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0254zvknq
1258,"M 1.8 - 49 km SSE of Whites City, New Mexico","49 km SSE of Whites City, New Mexico",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aghb
703,"M 1.8 - 31 km S of Denali National Park, Alaska","31 km S of Denali National Park, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a7dcnp
1713,"M 1.8 - 36 km NNW of Toyah, Texas","36 km NNW of Toyah, Texas",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025adje
1345,"M 1.8 - 15 km SSE of Sunrise, Alaska","15 km SSE of Sunrise, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256nnq9m
867,"M 1.8 - 19 km NNE of Pāhala, Hawaii","19 km NNE of Pāhala, Hawaii",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/hv74585162
45,"M 1.8 - 16 km W of Susitna, Alaska","16 km W of Susitna, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025f3luig
26,"M 1.8 - 44 km SE of Denali National Park, Alaska","44 km SE of Denali National Park, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak025f4zl5k
219,"M 1.8 - 33 km NE of Gail, Texas","33 km NE of Gail, Texas",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aoco
1621,"M 1.8 - 57 km SW of Skwentna, Alaska","57 km SW of Skwentna, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0255025y4
1161,"M 1.8 - 50 km ENE of Chase, Alaska","50 km ENE of Chase, Alaska",1.8,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256ycv8b
526,"M 1.8 - 3 km W of Cobb, CA","3 km W of Cobb, CA",1.79,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113976
861,"M 1.8 - 12 km SSE of Volcano, Hawaii","12 km SSE of Volcano, Hawaii",1.79,https://earthquake.usgs.gov/earthquakes/eventpage/hv74585177
1295,"M 1.8 - 11 km NNE of Pāhala, Hawaii","11 km NNE of Pāhala, Hawaii",1.79,https://earthquake.usgs.gov/earthquakes/eventpage/hv74583527
531,"M 1.8 - 7 km ENE of Lake Roesiger, Washington","7 km ENE of Lake Roesiger, Washington",1.78,https://earthquake.usgs.gov/earthquakes/eventpage/uw62061632
816,"M 1.8 - 24 km E of Maricopa, CA","24 km E of Maricopa, CA",1.77,https://earthquake.usgs.gov/earthquakes/eventpage/ci40834391
450,"M 1.8 - 2 km W of Point Roberts, Washington","2 km W of Point Roberts, Washington",1.75,https://earthquake.usgs.gov/earthquakes/eventpage/uw62061652
370,"M 1.8 - 5 km WNW of Deer Island, Oregon","5 km WNW of Deer Island, Oregon",1.75,https://earthquake.usgs.gov/earthquakes/eventpage/uw62061722
242,"M 1.8 - 2 km WNW of Kenilworth, Utah","2 km WNW of Kenilworth, Utah",1.75,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099381
358,"M 1.7 - 3 km ENE of Buckley, Washington","3 km ENE of Buckley, Washington",1.74,https://earthquake.usgs.gov/earthquakes/eventpage/uw62061732
1401,"M 1.7 Quarry Blast - 7 km SSE of Home Gardens, CA","7 km SSE of Home Gardens, CA",1.74,https://earthquake.usgs.gov/earthquakes/eventpage/ci40833423
1476,"M 1.7 - 10 km N of Alton, Utah","10 km N of Alton, Utah",1.73,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099146
720,"M 1.7 - 3 km E of The Geysers, CA","3 km E of The Geysers, CA",1.73,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113611
866,"M 1.7 - 22 km W of Sitka, Alaska","22 km W of Sitka, Alaska",1.73,https://earthquake.usgs.gov/earthquakes/eventpage/av93445951
951,"M 1.7 - 8 km S of Redlands, CA","8 km S of Redlands, CA",1.73,https://earthquake.usgs.gov/earthquakes/eventpage/ci40834143
1070,"M 1.7 - 8 km NNW of Healdsburg, CA","8 km NNW of Healdsburg, CA",1.73,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113016
240,"M 1.7 - 20 km WSW of Pepeekeo, Hawaii","20 km WSW of Pepeekeo, Hawaii",1.72000003,https://earthquake.usgs.gov/earthquakes/eventpage/hv74587257
1071,"M 1.7 - 14 km N of Leon, Oklahoma","14 km N of Leon, Oklahoma",1.72,https://earthquake.usgs.gov/earthquakes/eventpage/ok2025ahwc
527,"M 1.7 - 12 km ENE of Hidden Valley Lake, CA","12 km ENE of Hidden Valley Lake, CA",1.72,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113971
1406,"M 1.7 - 13 km SE of Middletown, CA","13 km SE of Middletown, CA",1.72,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112601
908,"M 1.7 - 5 km NW of Cobb, CA","5 km NW of Cobb, CA",1.71,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113311
1115,"M 1.7 - 57 km NW of Toyah, Texas","57 km NW of Toyah, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025ahnr
301,"M 1.7 - 17 km NE of Yerington, Nevada","17 km NE of Yerington, Nevada",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891581
97,"M 1.7 - 55 km SSW of Whites City, New Mexico","55 km SSW of Whites City, New Mexico",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025apci
300,"M 1.7 - 16 km SSE of Susitna, Alaska","16 km SSE of Susitna, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dd5x97
1714,"M 1.7 - 54 km S of Whites City, New Mexico","54 km S of Whites City, New Mexico",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025adiz
824,"M 1.7 - 57 km WSW of Cantwell, Alaska","57 km WSW of Cantwell, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a090sw
483,"M 1.7 - 21 km NE of Yerington, Nevada","21 km NE of Yerington, Nevada",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891517
44,"M 1.7 - 56 km S of Whites City, New Mexico","56 km S of Whites City, New Mexico",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025apqx
47,"M 1.7 - 59 km NW of Tatitlek, Alaska","59 km NW of Tatitlek, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025f3krel
1601,"M 1.7 - 21 km SW of Trapper Creek, Alaska","21 km SW of Trapper Creek, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025510fm1
1393,"M 1.7 - 14 km S of Nixon, Texas","14 km S of Nixon, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afjv
779,"M 1.7 - 22 km N of Fishhook, Alaska","22 km N of Fishhook, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a2r3wp
782,"M 1.7 - 55 km N of Chickaloon, Alaska","55 km N of Chickaloon, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a2oiku
1285,"M 1.7 - 16 km WSW of Big Lake, Alaska","16 km WSW of Big Lake, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256r5pnu
1426,"M 1.7 - 37 km NNW of Toyah, Texas","37 km NNW of Toyah, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025affx
1319,"M 1.7 - 37 km NNW of Toyah, Texas","37 km NNW of Toyah, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afxp
216,"M 1.7 - 24 km WNW of Nikiski, Alaska","24 km WNW of Nikiski, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dimk1t
72,"M 1.7 - 24 km NNE of Point Possession, Alaska","24 km NNE of Point Possession, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025f0q7ep
1606,"M 1.7 - 53 km W of Mentone, Texas","53 km W of Mentone, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025adxx
898,"M 1.7 - 7 km W of Snyder, Texas","7 km W of Snyder, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025ajdt
1290,"M 1.7 - 113 km S of McCarthy, Alaska","113 km S of McCarthy, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256r2heo
174,"M 1.7 - 37 km SSE of Goldfield, Nevada","37 km SSE of Goldfield, Nevada",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891616
965,"M 1.7 - 17 km NE of Yerington, Nevada","17 km NE of Yerington, Nevada",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891439
1268,"M 1.7 - 46 km NW of Toyah, Texas","46 km NW of Toyah, Texas",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025agfg
1231,"M 1.7 - 17 km SE of Yosemite Valley, CA","17 km SE of Yosemite Valley, CA",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112821
172,"M 1.7 - 80 km NNE of Chickaloon, Alaska","80 km NNE of Chickaloon, Alaska",1.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dl0uz9
